name,slug,country,city,homepage
"university of british columbia (ubc)","university-of-british-columbia-(ubc)","canada","vancouver", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"ist, instituto superior tecnico","ist,-instituto-superior-tecnico","portugal","lisboa", ""
"albert-ludwig-universität freiburg","albert-ludwig-universität-freiburg","tyskland","freiburg im breisgau", ""
"universidad politécnica de madrid","universidad-politécnica-de-madrid","spania","madrid", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"ucsd","ucsd","usa","san diego", ""
"ucsd(university of california san diego)","ucsd(university-of-california-san-diego)","usa","san diego", ""
"universiteit van amsterdam","universiteit-van-amsterdam","nederland","amsterdam", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"university of innsbruck","university-of-innsbruck","Østerrike","innsbruck", ""
"universita degli studi di padova","universita-degli-studi-di-padova","italia","padova", ""
"university of the highlands and islands","university-of-the-highlands-and-islands","storbritannia","kirkwall", ""
"eindhoven university of technology (technische universiteit eindhoven)","eindhoven-university-of-technology-(technische-universiteit-eindhoven)","nederland","eindhoven", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"bogazici universitetet","bogazici-universitetet","tyrkia","istanbul", ""
"ubc","ubc","canada","vancouver", ""
"tecnico","tecnico","portugal","lisboa", ""
"university of padova","university-of-padova","italia","padova", ""
"universita degli di padova","universita-degli-di-padova","italia","padova", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"universita degli studi di genova","universita-degli-studi-di-genova","italia","genova", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"usi","usi","sveits","mendrisio", ""
"dtu: danmarks tekniske universitet","dtu:-danmarks-tekniske-universitet","danmark","kongens lyngby", ""
"aalto university","aalto-university","finland","espoo/helsinki", ""
"epfl","epfl","sveits","lausanne", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"institut d'études politiques de toulouse","institut-d'études-politiques-de-toulouse","frankrike","toulouse", ""
"universidade de lisboa","universidade-de-lisboa","portugal","lisboa", ""
"epfl","epfl","sveits","lausanne", ""
"technische universität graz","technische-universität-graz","Østerrike","graz", ""
"upc-fme","upc-fme","spania","barcelona", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"accademia di belle arti di brera","accademia-di-belle-arti-di-brera","italia","milano", ""
"","","","", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"czech technical university","czech-technical-university","tsjekkia","praha", ""
